,idxret
2016-01-27,-0.01344
2016-01-28,-0.04406
2016-01-29,0.037542
2016-02-01,-0.012735
2016-02-02,0.034661000000000004
2016-02-03,0.004215
2016-02-04,0.019841
2016-02-05,-0.010013
2016-02-15,0.000678
2016-02-16,0.041371
2016-02-17,0.011669
2016-02-18,-0.002392
2016-02-19,0.0037579999999999996
2016-02-22,0.020772
2016-02-23,-0.005443
2016-02-24,0.006679000000000001
2016-02-25,-0.079363
2016-02-26,0.004068
2016-02-29,-0.05284199999999999
2016-03-01,0.023025999999999998
2016-03-02,0.051065
2016-03-03,0.004142
2016-03-04,-0.026902999999999996
2016-03-07,0.023301
2016-03-08,0.0020469999999999998
2016-03-09,-0.025552000000000002
2016-03-10,-0.016929
2016-03-11,-0.002348
2016-03-14,0.032966
2016-03-15,-0.008925
2016-03-16,-0.013653
2016-03-17,0.032928
2016-03-18,0.035379
2016-03-21,0.02525
2016-03-22,-0.003933
2016-03-23,0.007156
2016-03-24,-0.016431
2016-03-25,0.009804
2016-03-28,-0.006525
2016-03-29,-0.019198
2016-03-30,0.036414
2016-03-31,0.002983
2016-04-01,-0.005082
2016-04-05,0.02646
2016-04-06,0.005862
2016-04-07,-0.014938
2016-04-08,-0.00967
2016-04-11,0.021975
2016-04-12,-0.008173
2016-04-13,0.014625999999999998
2016-04-14,0.009084
2016-04-15,-0.002734
2016-04-18,-0.016156
2016-04-19,0.004303
2016-04-20,-0.04534
2016-04-21,-0.008556999999999999
2016-04-22,0.006806
2016-04-25,-0.005529999999999999
2016-04-26,0.011491
2016-04-27,-0.004974
2016-04-28,-0.004383
2016-04-29,-0.00079
2016-05-03,0.030382999999999997
2016-05-04,0.00037799999999999997
2016-05-05,0.005516
2016-05-06,-0.039061
2016-05-09,-0.036541000000000004
2016-05-10,-0.0008269999999999999
2016-05-11,-0.002698
2016-05-12,0.000532
2016-05-13,-0.002121
2016-05-16,0.01719
2016-05-17,-0.003819
2016-05-18,-0.027485000000000002
2016-05-19,0.006311
2016-05-20,0.011677
2016-05-23,0.013356999999999999
2016-05-24,-0.011412
2016-05-25,-0.004874
2016-05-26,0.00511
2016-05-27,-0.0008349999999999999
2016-05-30,-0.004926
2016-05-31,0.041323
2016-06-01,0.004449
2016-06-02,0.0067150000000000005
2016-06-03,0.003111
2016-06-06,0.003192
2016-06-07,-0.001074
2016-06-08,-0.003553
2016-06-13,-0.046056
2016-06-14,0.0028399999999999996
2016-06-15,0.032985
2016-06-16,-0.003746
2016-06-17,0.005686999999999999
2016-06-20,0.003571
2016-06-21,-0.011489
2016-06-22,0.015562999999999999
2016-06-23,-0.005111
2016-06-24,-0.012471
2016-06-27,0.023816
2016-06-28,0.010471
2016-06-29,0.002078
2016-06-30,0.000538
2016-07-01,-0.001952
2016-07-04,0.019691
2016-07-05,0.006037
2016-07-06,0.004449
2016-07-07,0.003556
2016-07-08,-0.0031550000000000003
2016-07-11,0.002007
2016-07-12,0.013092
2016-07-13,0.00804
2016-07-14,0.001399
2016-07-15,-0.0022559999999999998
2016-07-18,-0.004494
2016-07-19,0.003098
2016-07-20,-0.002179
2016-07-21,0.0038619999999999995
2016-07-22,-0.008038
2016-07-25,0.002794
2016-07-26,0.013371000000000001
2016-07-27,-0.040833
2016-07-28,0.002247
2016-07-29,-0.00647
2016-08-01,-0.015092
2016-08-02,0.009695
2016-08-03,0.004843999999999999
2016-08-04,0.006428
2016-08-05,-0.005602
2016-08-08,0.0141
2016-08-09,0.008074
2016-08-10,-0.0036710000000000002
2016-08-11,-0.014554
2016-08-12,0.011689
2016-08-15,0.022771
2016-08-16,0.004093
2016-08-17,0.00301
2016-08-18,0.000315
2016-08-19,0.0014089999999999999
2016-08-22,-0.012186
2016-08-23,0.0013
2016-08-24,0.000989
2016-08-25,-0.008157
2016-08-26,0.004413
2016-08-29,0.00262
2016-08-30,-0.000276
2016-08-31,0.0013160000000000001
2016-09-01,-0.008196
2016-09-02,-0.003843
2016-09-05,0.00548
2016-09-06,0.01583
2016-09-07,0.000207
2016-09-08,0.0036439999999999997
2016-09-09,-0.0072
2016-09-12,-0.027726
2016-09-13,0.0045130000000000005
2016-09-14,-0.006626000000000001
2016-09-19,0.010516
2016-09-20,-0.000339
2016-09-21,0.000271
2016-09-22,0.006601999999999999
2016-09-23,-0.002357
2016-09-26,-0.02026
2016-09-27,0.007273000000000001
2016-09-28,-0.000895
2016-09-29,0.002787
2016-09-30,0.004651
2016-10-10,0.018900999999999998
2016-10-11,0.006007
2016-10-12,-0.0005679999999999999
2016-10-13,0.000323
2016-10-14,-0.002365
2016-10-17,-0.008709
2016-10-18,0.01499
2016-10-19,-0.0021550000000000002
2016-10-20,0.000459
2016-10-21,-0.0035329999999999997
2016-10-24,0.009912
2016-10-25,0.003653
2016-10-26,-0.0050219999999999996
2016-10-27,-0.001995
2016-10-28,-0.00944
2016-10-31,-0.000562
2016-11-01,0.00864
2016-11-02,-0.008116
2016-11-03,0.004431
2016-11-04,-0.0032600000000000003
2016-11-07,0.0009630000000000001
2016-11-08,0.005312
2016-11-09,-0.007628
2016-11-10,0.012922
2016-11-11,0.007178
2016-11-14,0.004727
2016-11-15,0.003848
2016-11-16,0.0005610000000000001
2016-11-17,-0.0011619999999999998
2016-11-18,-0.005145
2016-11-21,0.001395
2016-11-22,0.007518
2016-11-23,-0.004515
2016-11-24,-0.001225
2016-11-25,0.004495
2016-11-28,0.002703
2016-11-29,-0.007497
2016-11-30,-0.005319
2016-12-01,0.005905
2016-12-02,-0.015623
2016-12-05,-0.005361
2016-12-06,0.0007509999999999999
2016-12-07,0.010343000000000001
2016-12-08,-0.004665
2016-12-09,-0.002071
2016-12-12,-0.040657
2016-12-13,0.004657
2016-12-14,-0.006161
2016-12-15,0.006555
2016-12-16,0.006071
2016-12-19,0.00035
2016-12-20,-0.003179
2016-12-21,0.0074540000000000006
2016-12-22,-0.000917
2016-12-23,-0.009428
2016-12-26,0.002031
2016-12-27,-0.0009369999999999999
2016-12-28,-0.002961
2016-12-29,-0.0028120000000000003
2016-12-30,0.0017620000000000001
2017-01-03,0.009122
2017-01-04,0.011693
2017-01-05,0.000722
2017-01-06,-0.004323
2017-01-09,0.006874
2017-01-10,-0.00335
2017-01-11,-0.009691
2017-01-12,-0.009336
2017-01-13,-0.012465
2017-01-16,-0.02638
2017-01-17,0.008427
2017-01-18,-0.002215
2017-01-19,-0.004106
2017-01-20,0.01296
2017-01-23,0.008195000000000001
2017-01-24,-0.001118
2017-01-25,0.00232
2017-01-26,0.007143000000000001
2017-02-03,-0.002669
2017-02-06,0.008402
2017-02-07,-0.00053
2017-02-08,0.0057020000000000005
2017-02-09,0.006291
2017-02-10,0.0009369999999999999
2017-02-13,0.005136
2017-02-14,0.0008210000000000001
2017-02-15,-0.009912
2017-02-16,0.007548
2017-02-17,-0.008204000000000001
2017-02-20,0.012351
2017-02-21,0.007732999999999999
2017-02-22,0.006183
2017-02-23,-3.6e-05
2017-02-24,0.000336
2017-02-27,-0.008015999999999999
2017-02-28,0.004158
2017-03-01,0.002584
2017-03-02,-0.005104
2017-03-03,0.00283
2017-03-06,0.009993
2017-03-07,0.0009
2017-03-08,-0.004001
2017-03-09,-0.008882
2017-03-10,0.001325
2017-03-13,0.009302
2017-03-14,-0.002215
2017-03-15,-0.001143
2017-03-16,0.008831
2017-03-17,-0.009184000000000001
2017-03-20,0.002328
2017-03-21,0.002709
2017-03-22,-0.002479
2017-03-23,0.001907
2017-03-24,0.005287
2017-03-27,-0.004671
2017-03-28,-0.0026609999999999997
2017-03-29,-0.002792
2017-03-30,-0.016171
2017-03-31,0.004063000000000001
2017-04-05,0.021606999999999998
2017-04-06,0.00301
2017-04-07,0.002908
2017-04-10,-0.001852
2017-04-11,0.009537
2017-04-12,-0.007948
2017-04-13,0.005965
2017-04-14,-0.013231999999999999
2017-04-17,-0.010962000000000001
2017-04-18,-0.005945000000000001
2017-04-19,-0.010527
2017-04-20,-0.000452
2017-04-21,-0.0074140000000000005
2017-04-24,-0.025744
2017-04-25,0.0035770000000000003
2017-04-26,0.002587
2017-04-27,0.002575
2017-04-28,0.0031579999999999998
2017-05-02,0.000685
2017-05-03,-0.0029980000000000002
2017-05-04,-0.0034159999999999998
2017-05-05,-0.014025
2017-05-08,-0.018744
2017-05-09,0.006102000000000001
2017-05-10,-0.020985
2017-05-11,-0.0022429999999999998
2017-05-12,-0.001508
2017-05-15,0.005069
2017-05-16,0.020569999999999998
2017-05-17,0.002147
2017-05-18,-0.008519
2017-05-19,-0.000221
2017-05-22,-0.014421000000000002
2017-05-23,-0.021046000000000002
2017-05-24,0.005963
2017-05-25,0.008889
2017-05-26,-0.00237
2017-05-31,-0.002198
2017-06-01,-0.019592
2017-06-02,0.010948999999999999
2017-06-05,0.007498
2017-06-06,0.004423
2017-06-07,0.019429
2017-06-08,0.000665
2017-06-09,0.0017280000000000002
2017-06-12,-0.011127
2017-06-13,0.013078999999999999
2017-06-14,-0.002278
2017-06-15,0.009174
2017-06-16,-0.001356
2017-06-19,0.007386
2017-06-20,0.001567
2017-06-21,0.001861
2017-06-22,-0.014125
2017-06-23,0.003
2017-06-26,0.016859
2017-06-27,0.00025
2017-06-28,-0.004409000000000001
2017-06-29,0.005058
2017-06-30,0.00346
2017-07-03,0.006393
2017-07-04,-0.004944
2017-07-05,0.007664
2017-07-06,0.001241
2017-07-07,0.003928
2017-07-10,-0.003125
2017-07-11,-0.012497
2017-07-12,0.0006519999999999999
2017-07-13,0.002762
2017-07-14,-0.0034460000000000003
2017-07-17,-0.041164
2017-07-18,0.010546
2017-07-19,0.020363
2017-07-20,0.006589
2017-07-21,0.004398
2017-07-24,0.006696
2017-07-25,-0.002194
2017-07-26,-0.001121
2017-07-27,0.006071
2017-07-28,0.005084
2017-07-31,0.013279
2017-08-01,-0.00182
2017-08-02,-0.005516
2017-08-03,0.001616
2017-08-04,-0.0058850000000000005
2017-08-07,0.012579
2017-08-08,4.7e-05
2017-08-09,0.005759
2017-08-10,-0.008013
2017-08-11,-0.020357
2017-08-14,0.021335
2017-08-15,0.003515
2017-08-16,0.0006389999999999999
2017-08-17,0.007475
2017-08-18,-0.0028710000000000003
2017-08-21,0.008826
2017-08-22,-0.004340999999999999
2017-08-23,-0.008343999999999999
2017-08-24,-0.006989
2017-08-25,0.010820999999999999
2017-08-28,0.012299
2017-08-29,-0.0025570000000000002
2017-08-30,0.00707
2017-08-31,0.002628
2017-09-01,0.008667
2017-09-04,0.005849
2017-09-05,0.001094
2017-09-06,0.005365
2017-09-07,-0.007344
2017-09-08,0.002376
2017-09-11,0.011476
2017-09-12,-0.0008449999999999999
2017-09-13,0.006076
2017-09-14,-0.0018239999999999999
2017-09-15,-0.007515000000000001
2017-09-18,0.00716
2017-09-19,-0.005013
2017-09-20,0.008506999999999999
2017-09-21,-0.012018000000000001
2017-09-22,-0.006055
2017-09-25,-0.012502
2017-09-26,0.004757
2017-09-27,0.009573
2017-09-28,-0.002332
2017-09-29,0.0054
2017-10-09,0.011375
2017-10-10,0.004059
2017-10-11,-0.005818
2017-10-12,-0.001106
2017-10-13,0.0076170000000000005
2017-10-16,-0.013503999999999999
2017-10-17,-0.0009460000000000001
2017-10-18,-0.007486
2017-10-19,-0.009452
2017-10-20,0.010771
2017-10-23,0.006291
2017-10-24,-0.0014759999999999999
2017-10-25,0.006798
2017-10-26,0.003616
2017-10-27,-0.006163
2017-10-30,-0.017953
2017-10-31,0.007439
2017-11-01,-0.001105
2017-11-02,-0.010381
2017-11-03,-0.008935
2017-11-06,0.013087999999999999
2017-11-07,0.006272
2017-11-08,0.001489
2017-11-09,0.007568000000000001
2017-11-10,0.004517
2017-11-13,0.004516
2017-11-14,-0.008498
2017-11-15,-0.011618999999999999
2017-11-16,0.003159
2017-11-17,-0.029942
2017-11-20,0.011196
2017-11-21,0.0036030000000000003
2017-11-22,-0.0026190000000000002
2017-11-23,-0.025613
2017-11-24,0.0005610000000000001
2017-11-27,-0.013297
2017-11-28,0.016912
2017-11-29,0.003025
2017-11-30,-0.008695999999999999
2017-12-01,0.008459999999999999
2017-12-04,-0.005824
2017-12-05,-0.023363
2017-12-06,0.006504
2017-12-07,-0.0060479999999999996
2017-12-08,0.01103
2017-12-11,0.013384
2017-12-12,-0.008424
2017-12-13,0.007095999999999999
2017-12-14,0.001058
2017-12-15,-0.007689
2017-12-18,-0.005737
2017-12-19,0.008267
2017-12-20,-0.008298999999999999
2017-12-21,0.006313
2017-12-22,0.0007030000000000001
2017-12-25,-0.009177
2017-12-26,0.005587
2017-12-27,-0.007555
2017-12-28,0.0050409999999999995
2017-12-29,0.007503
2018-01-02,0.013022999999999998
2018-01-03,0.008848
2018-01-04,0.004584
2018-01-05,-4.4e-05
2018-01-08,0.004508
2018-01-09,-6.8e-05
2018-01-10,-0.006176
2018-01-11,0.0031219999999999998
2018-01-12,-0.0041340000000000005
2018-01-15,-0.022813999999999997
2018-01-16,0.0076370000000000006
2018-01-17,-0.005344
2018-01-18,0.0030859999999999998
2018-01-19,-0.002294
2018-01-22,0.011998
2018-01-23,0.001159
2018-01-24,0.006184
2018-01-25,-0.001812
2018-01-26,0.000143
2018-01-29,-0.011553
2018-01-30,0.0005639999999999999
2018-01-31,-0.019657
2018-02-01,-0.033056999999999996
2018-02-02,0.00336
2018-02-05,-0.001103
2018-02-06,-0.049007999999999996
2018-02-07,0.001239
2018-02-08,0.009656
2018-02-09,-0.036692
2018-02-12,0.025958999999999996
2018-02-13,0.006642
2018-02-14,0.003117
2018-02-22,0.021006999999999998
2018-02-23,0.0037359999999999997
2018-02-26,0.022382
2018-02-27,-0.003171
2018-02-28,0.002183
2018-03-01,0.011048
2018-03-02,-0.005565
2018-03-05,0.001282
2018-03-06,0.013436000000000002
2018-03-07,-0.009615
2018-03-08,0.007398
2018-03-09,0.012306999999999998
2018-03-12,0.014306999999999999
2018-03-13,-0.006613
2018-03-14,-0.010366
2018-03-15,-0.0014869999999999998
2018-03-16,-0.00547
2018-03-19,0.001225
2018-03-20,0.003228
2018-03-21,-0.007206999999999999
2018-03-22,-0.004564
2018-03-23,-0.051476999999999995
2018-03-26,0.020011
2018-03-27,0.022331
2018-03-28,-0.01018
2018-03-29,0.010298
2018-03-30,0.013237
2018-04-02,0.001182
2018-04-03,-0.010169
2018-04-04,-0.006934999999999999
2018-04-09,0.001323
2018-04-10,0.0063219999999999995
2018-04-11,0.0037719999999999997
2018-04-12,-0.005796
2018-04-13,-0.003991
2018-04-16,-0.0024519999999999998
2018-04-17,-0.020216
2018-04-18,0.013547
2018-04-19,0.005707
2018-04-20,-0.020633000000000002
2018-04-23,-0.009678
2018-04-24,0.022884
2018-04-25,0.00037400000000000004
2018-04-26,-0.018701
2018-04-27,0.002224
2018-05-02,-0.0009660000000000001
2018-05-03,0.009441
2018-05-04,-0.00022200000000000003
2018-05-07,0.018588999999999998
2018-05-08,0.0037670000000000004
2018-05-09,-0.002082
2018-05-10,0.0018809999999999999
2018-05-11,-0.00815
2018-05-14,-0.0039700000000000004
2018-05-15,0.008884
2018-05-16,-0.002741
2018-05-17,-0.005045
2018-05-18,0.003578
2018-05-21,0.012852
2018-05-22,0.0034100000000000003
2018-05-23,-0.012976
2018-05-24,-0.0035299999999999997
2018-05-25,-0.012486
2018-05-28,-0.004484
2018-05-29,-0.009475
2018-05-30,-0.026195
2018-05-31,0.01265
2018-06-01,-0.012053
2018-06-04,-0.000346
2018-06-05,0.016880000000000003
2018-06-06,-0.000834
2018-06-07,-0.0062759999999999995
2018-06-08,-0.011975
2018-06-11,-0.006517
2018-06-12,0.010828
2018-06-13,-0.015163
2018-06-14,-0.003582
2018-06-15,-0.018434
2018-06-19,-0.062407000000000004
2018-06-20,0.011023999999999999
2018-06-21,-0.020995
2018-06-22,0.013926
2018-06-25,-0.0068
2018-06-26,0.006878
2018-06-27,-0.009842
2018-06-28,-0.010645
2018-06-29,0.032175999999999996
2018-07-02,-0.015137000000000001
2018-07-03,0.011355
2018-07-04,-0.014583
2018-07-05,-0.027058999999999996
2018-07-06,0.002783
2018-07-09,0.022199
2018-07-10,0.005674
2018-07-11,-0.019542
2018-07-12,0.027074
2018-07-13,0.006125
2018-07-16,-0.001727
2018-07-17,0.000192
2018-07-18,-0.007613
2018-07-19,-0.008787
2018-07-20,0.012506
2018-07-23,0.007488
2018-07-24,0.017383000000000003
2018-07-25,0.0007570000000000001
2018-07-26,-0.006626999999999999
2018-07-27,-0.004587
2018-07-30,-0.012218999999999999
2018-07-31,0.000688
2018-08-01,-0.016062
2018-08-02,-0.021421
2018-08-03,-0.013262999999999999
2018-08-06,-0.021197999999999998
2018-08-07,0.027277999999999997
2018-08-08,-0.015393
2018-08-09,0.025449
2018-08-10,0.005143
2018-08-13,0.004922
2018-08-14,-0.00344
2018-08-15,-0.020857
2018-08-16,-0.009008
2018-08-17,-0.017458
2018-08-20,0.006168
2018-08-21,0.012277
2018-08-22,-0.011235
2018-08-23,0.005509
2018-08-24,-0.002339
2018-08-27,0.022212
2018-08-28,0.0028510000000000002
2018-08-29,-0.006483
2018-08-30,-0.015144
2018-08-31,-0.010745000000000001
2018-09-03,0.004995
2018-09-04,0.010624
2018-09-05,-0.015387
2018-09-06,-0.004504
2018-09-07,-0.000327
2018-09-10,-0.018135
2018-09-11,-0.00042
2018-09-12,-0.0018989999999999999
2018-09-13,0.005803
2018-09-14,-0.01083
2018-09-17,-0.014494
2018-09-18,0.017625
2018-09-19,0.011399
2018-09-20,-0.00072
2018-09-21,0.015155000000000002
2018-09-25,-0.002636
2018-09-26,0.004816
2018-09-27,-0.012511
2018-09-28,0.009536
2018-10-08,-0.032128
2018-10-09,-0.002496
2018-10-10,-0.00108
2018-10-11,-0.069649
2018-10-12,-0.006822
2018-10-15,-0.018438999999999997
2018-10-16,-0.023688
2018-10-17,0.00822
