Date,clsprc_pre,opnprc,highprc,lowprc,clsprc,volume,dvol,ret,idxret
20160104,7617.689,7615.5139,7624.1008,6983.2854,6983.4044,7801499900,115000000000,-8.3265,-0.083265
20160105,6983.4044,6663.7264,7020.5409,6627.6416,6889.7414,11342822500,157000000000,-1.3412,-0.013412
20160106,6889.7414,6916.5318,7066.0848,6878.6539,7065.6068,10093042700,136000000000,2.5526,0.025526
20160107,7065.6068,6937.4161,6937.4161,6454.9732,6462.2428,2842674200,34781544777,-8.5395,-0.085395
20160108,6462.2428,6618.0809,6689.1413,6222.5929,6570.4316,11112960500,139000000000,1.6742,0.016742
20160111,6570.4316,6435.8944,6529.8788,6128.2225,6128.6558,11560073600,133000000000,-6.7237,-0.067237
20160112,6128.6558,6126.6696,6205.5914,5994.6361,6136.6632,9190522000,106000000000,0.1307,0.001307
20160113,6136.6632,6168.9869,6226.5409,5924.044,5924.044,8612340200,98456702875,-3.4647,-0.034647
20160114,5924.044,5734.6075,6137.507,5726.8834,6124.8202,9225144600,104000000000,3.3892,0.033892
20160115,6124.8202,6078.6153,6135.2708,5852.2411,5893.6815,8863053900,102000000000,-3.7738,-0.037738
20160118,5893.6815,5768.7577,6051.1817,5765.1458,5978.9076,7246978900,86980313690,1.4461,0.014461
20160119,5978.9076,5965.3551,6203.3998,5956.2253,6197.0947,8798101500,106000000000,3.6493,0.036493
20160120,6197.0947,6161.2319,6244.9612,6095.7216,6138.5031,9194751800,113000000000,-0.9455,-0.009455
20160121,6138.5031,6031.1695,6191.3173,5886.8835,5886.8835,8188276500,101000000000,-4.099,-0.04099
20160122,5886.8835,5954.3643,6013.9706,5799.7117,5980.6111,6983070900,84429369084,1.5921,0.015921
20160125,5980.6111,6034.0844,6093.2693,5976.3363,6041.3261,6530851400,78677683156,1.0152,0.010152
20160126,6041.3261,5966.7049,5982.4993,5573.8266,5589.3069,8544391700,98104095983,-7.4821,-0.074821
20160127,5589.3069,5604.1667,5628.1856,5240.6457,5514.1886,8792411800,95354931801,-1.344,-0.01344
20160128,5514.1886,5441.7378,5511.3206,5257.0812,5271.2325,6733807600,73152739267,-4.406,-0.04406
20160129,5271.2325,5262.4596,5515.4864,5248.215,5469.1254,7235909100,78303710591,3.7542,0.037542
20160201,5469.1254,5458.6048,5493.9818,5319.7007,5399.4771,6471611400,70863332935,-1.2735,-0.012735
20160202,5399.4771,5407.7068,5594.3607,5407.6681,5586.6266,6657196200,75674180029,3.4661,0.034661
20160203,5586.6266,5520.6415,5634.9198,5482.2247,5610.1734,6328072600,70624920617,0.4215,0.004215
20160204,5610.1734,5631.3198,5744.0236,5631.3198,5721.4853,7108398200,83226216373,1.9841,0.019841
20160205,5721.4853,5734.4807,5747.9794,5662.4365,5664.1971,5607554500,65321968979,-1.0013,-0.010013
20160215,5664.1971,5485.723,5700.5221,5482.7957,5668.0398,5363125300,63351303196,0.0678,0.000678
20160216,5668.0398,5694.7487,5918.5932,5694.7487,5902.5341,8287714300,98534904807,4.1371,0.041371
20160217,5902.5341,5889.5021,5979.4073,5854.2197,5971.4123,9058252000,108000000000,1.1669,0.011669
20160218,5971.4123,6009.7485,6034.8519,5945.204,5957.1305,9371479800,110000000000,-0.2392,-0.002392
20160219,5957.1305,5939.6973,6009.724,5919.6832,5979.5164,7038049900,86849115989,0.3758,0.003758
20160222,5979.5164,6055.6751,6111.6899,6029.4589,6103.7225,9432052000,111000000000,2.0772,0.020772
